meter_id,zone_id,customer_type,contracted_capacity_kva
MTR-00447,ZONE-04,industrial,200
MTR-00448,ZONE-10,residential,15
MTR-00449,ZONE-06,industrial,200
MTR-00450,ZONE-03,residential,5
MTR-00451,ZONE-10,residential,5
MTR-00452,ZONE-10,residential,5
MTR-00453,ZONE-05,commercial,25
MTR-00454,ZONE-01,residential,5
MTR-00455,ZONE-06,commercial,75
MTR-00456,ZONE-06,commercial,50
MTR-00457,ZONE-02,residential,15
MTR-00458,ZONE-07,commercial,50
MTR-00459,ZONE-09,industrial,150
MTR-00460,ZONE-02,residential,10
MTR-00461,ZONE-08,residential,15
MTR-00462,ZONE-02,residential,5
MTR-00463,ZONE-08,industrial,150
MTR-00464,ZONE-05,residential,5
MTR-00465,ZONE-01,industrial,150
MTR-00466,ZONE-10,residential,5
MTR-00467,ZONE-02,commercial,50
MTR-00468,ZONE-06,residential,10
MTR-00469,ZONE-02,industrial,100
MTR-00470,ZONE-10,residential,5
MTR-00471,ZONE-08,residential,15
MTR-00472,ZONE-09,residential,15
MTR-00473,ZONE-05,residential,10
MTR-00474,ZONE-05,residential,5
MTR-00475,ZONE-07,residential,15
MTR-00476,ZONE-08,residential,5
MTR-00477,ZONE-09,residential,10
MTR-00478,ZONE-01,residential,10
MTR-00479,ZONE-07,residential,5
MTR-00480,ZONE-02,residential,10
MTR-00481,ZONE-03,residential,5
MTR-00482,ZONE-09,commercial,50
MTR-00483,ZONE-03,residential,5
MTR-00484,ZONE-08,commercial,75
MTR-00485,ZONE-05,residential,10
MTR-00486,ZONE-03,commercial,75
MTR-00487,ZONE-04,commercial,75
MTR-00488,ZONE-06,residential,5
MTR-00489,ZONE-08,residential,5
MTR-00490,ZONE-07,commercial,75
MTR-00491,ZONE-10,residential,5
MTR-00492,ZONE-09,residential,10
MTR-00493,ZONE-08,residential,5
MTR-00494,ZONE-07,residential,5
MTR-00495,ZONE-03,residential,10
MTR-00496,ZONE-05,commercial,25
MTR-00497,ZONE-02,residential,10
MTR-00498,ZONE-04,residential,15
MTR-00499,ZONE-10,industrial,100
MTR-00500,ZONE-05,residential,15
