meter_id,date,alarm_type
MTR-00127,2025-06-16,tilt
MTR-00128,2025-02-17,tilt
MTR-00129,2025-04-24,reverse_energy
MTR-00130,2025-05-08,reverse_energy
MTR-00130,2025-05-17,reverse_energy
MTR-00131,2025-03-21,cover_open
MTR-00135,2025-03-29,cover_open
MTR-00135,2025-04-22,magnetic_tamper
MTR-00142,2025-02-07,cover_open
MTR-00143,2025-04-08,cover_open
MTR-00143,2025-04-11,tilt
MTR-00143,2025-04-14,cover_open
MTR-00143,2025-04-16,tilt
MTR-00143,2025-04-20,magnetic_tamper
MTR-00144,2025-02-08,reverse_energy
MTR-00145,2025-05-10,reverse_energy
MTR-00147,2025-01-06,magnetic_tamper
MTR-00147,2025-01-17,tilt
MTR-00148,2025-05-17,tilt
MTR-00151,2025-04-13,tilt
MTR-00155,2025-04-21,magnetic_tamper
MTR-00155,2025-04-23,tilt
MTR-00156,2025-06-25,tilt
MTR-00159,2025-04-21,tilt
MTR-00159,2025-04-22,tilt
MTR-00159,2025-04-27,magnetic_tamper
MTR-00160,2025-04-23,cover_open
MTR-00162,2025-06-08,reverse_energy
MTR-00165,2025-02-27,tilt
MTR-00167,2025-02-08,tilt
MTR-00168,2025-06-14,magnetic_tamper
MTR-00170,2025-01-31,tilt
MTR-00175,2025-02-21,tilt
MTR-00178,2025-03-20,cover_open
MTR-00180,2025-05-13,cover_open
MTR-00184,2025-05-19,reverse_energy
MTR-00187,2025-05-03,magnetic_tamper
MTR-00187,2025-05-16,magnetic_tamper
MTR-00187,2025-05-20,tilt
MTR-00189,2025-05-04,magnetic_tamper
MTR-00189,2025-05-08,magnetic_tamper
MTR-00189,2025-05-14,reverse_energy
MTR-00189,2025-06-19,reverse_energy
MTR-00189,2025-06-24,magnetic_tamper
MTR-00191,2025-04-01,cover_open
MTR-00196,2025-01-06,tilt
MTR-00198,2025-05-22,cover_open
MTR-00198,2025-05-27,reverse_energy
MTR-00198,2025-05-29,magnetic_tamper
MTR-00198,2025-06-02,tilt
MTR-00198,2025-06-04,magnetic_tamper
MTR-00200,2025-04-04,cover_open
MTR-00201,2025-05-10,cover_open
MTR-00205,2025-03-01,tilt
MTR-00205,2025-04-01,cover_open
MTR-00208,2025-02-26,cover_open
MTR-00209,2025-04-28,magnetic_tamper
MTR-00209,2025-04-29,magnetic_tamper
MTR-00209,2025-05-07,magnetic_tamper
MTR-00210,2025-05-21,magnetic_tamper
MTR-00211,2025-04-12,cover_open
MTR-00211,2025-04-28,reverse_energy
MTR-00214,2025-01-06,magnetic_tamper
MTR-00220,2025-05-09,reverse_energy
MTR-00221,2025-04-29,tilt
MTR-00222,2025-03-02,magnetic_tamper
MTR-00223,2025-01-29,tilt
MTR-00224,2025-01-05,tilt
MTR-00224,2025-03-30,cover_open
MTR-00228,2025-04-16,tilt
MTR-00228,2025-05-13,tilt
MTR-00229,2025-04-11,tilt
MTR-00232,2025-01-22,tilt
MTR-00234,2025-01-19,reverse_energy
MTR-00234,2025-01-25,cover_open
MTR-00234,2025-04-10,magnetic_tamper
MTR-00235,2025-05-01,cover_open
MTR-00235,2025-05-04,cover_open
MTR-00235,2025-05-21,cover_open
MTR-00238,2025-06-02,cover_open
MTR-00240,2025-05-29,reverse_energy
MTR-00242,2025-03-15,reverse_energy
MTR-00242,2025-03-23,cover_open
MTR-00244,2025-03-13,cover_open
MTR-00244,2025-05-03,magnetic_tamper
MTR-00244,2025-05-04,cover_open
MTR-00246,2025-01-29,tilt
MTR-00247,2025-03-24,tilt
MTR-00247,2025-03-27,reverse_energy
MTR-00247,2025-03-29,cover_open
MTR-00247,2025-04-07,tilt
MTR-00250,2025-05-14,tilt
MTR-00252,2025-01-29,cover_open
MTR-00257,2025-02-17,tilt
MTR-00258,2025-05-18,magnetic_tamper
MTR-00259,2025-03-17,magnetic_tamper
MTR-00260,2025-05-13,reverse_energy
MTR-00260,2025-05-14,cover_open
MTR-00260,2025-05-18,tilt
MTR-00260,2025-05-26,tilt
MTR-00260,2025-05-31,tilt
MTR-00261,2025-06-19,reverse_energy
MTR-00264,2025-05-03,cover_open
MTR-00268,2025-04-22,reverse_energy
MTR-00270,2025-04-05,tilt
MTR-00272,2025-05-13,tilt
MTR-00275,2025-04-27,reverse_energy
MTR-00278,2025-05-02,cover_open
MTR-00279,2025-04-05,cover_open
MTR-00281,2025-01-16,reverse_energy
MTR-00281,2025-02-21,magnetic_tamper
MTR-00282,2025-02-11,tilt
MTR-00282,2025-06-06,tilt
MTR-00284,2025-04-02,tilt
MTR-00284,2025-04-07,magnetic_tamper
MTR-00284,2025-04-16,tilt
MTR-00286,2025-05-22,cover_open
MTR-00288,2025-01-04,tilt
MTR-00293,2025-01-09,reverse_energy
MTR-00294,2025-06-28,reverse_energy
MTR-00295,2025-01-08,cover_open
MTR-00300,2025-03-22,tilt
MTR-00305,2025-05-17,tilt
MTR-00314,2025-04-06,reverse_energy
MTR-00316,2025-03-30,reverse_energy
MTR-00318,2025-02-04,magnetic_tamper
MTR-00324,2025-05-09,cover_open
MTR-00324,2025-05-19,tilt
MTR-00324,2025-05-25,magnetic_tamper
MTR-00328,2025-06-11,magnetic_tamper
MTR-00330,2025-02-02,reverse_energy
MTR-00332,2025-06-21,reverse_energy
MTR-00333,2025-01-16,cover_open
MTR-00334,2025-06-10,magnetic_tamper
MTR-00338,2025-03-03,magnetic_tamper
MTR-00342,2025-05-17,tilt
MTR-00342,2025-05-20,tilt
MTR-00342,2025-05-23,tilt
MTR-00345,2025-01-23,cover_open
MTR-00345,2025-02-26,cover_open
MTR-00346,2025-06-23,cover_open
MTR-00350,2025-04-06,cover_open
MTR-00350,2025-04-14,tilt
MTR-00350,2025-04-18,tilt
MTR-00352,2025-06-25,magnetic_tamper
MTR-00355,2025-01-10,reverse_energy
MTR-00355,2025-06-28,reverse_energy
MTR-00358,2025-03-06,magnetic_tamper
MTR-00359,2025-01-16,tilt
MTR-00367,2025-02-01,tilt
MTR-00368,2025-01-16,magnetic_tamper
MTR-00369,2025-05-24,tilt
MTR-00372,2025-02-21,reverse_energy
MTR-00372,2025-05-28,tilt
MTR-00372,2025-06-28,tilt
MTR-00375,2025-04-13,tilt
MTR-00377,2025-06-04,reverse_energy
MTR-00380,2025-04-22,tilt
MTR-00383,2025-05-17,tilt
MTR-00385,2025-03-06,tilt
MTR-00385,2025-06-20,magnetic_tamper
MTR-00386,2025-05-19,tilt
MTR-00389,2025-03-11,cover_open
MTR-00389,2025-03-13,magnetic_tamper
MTR-00389,2025-03-18,tilt
MTR-00389,2025-03-22,tilt
MTR-00389,2025-03-26,cover_open
MTR-00390,2025-05-12,cover_open
MTR-00392,2025-03-17,cover_open
MTR-00394,2025-02-09,reverse_energy
MTR-00394,2025-06-07,cover_open
MTR-00394,2025-06-12,cover_open
MTR-00394,2025-06-13,tilt
MTR-00396,2025-04-10,magnetic_tamper
MTR-00396,2025-04-14,cover_open
MTR-00396,2025-04-25,reverse_energy
MTR-00399,2025-05-26,tilt
MTR-00399,2025-05-28,tilt
MTR-00400,2025-03-05,reverse_energy
MTR-00405,2025-01-05,reverse_energy
MTR-00407,2025-01-18,tilt
MTR-00407,2025-02-10,reverse_energy
MTR-00408,2025-03-29,cover_open
MTR-00411,2025-02-11,cover_open
MTR-00414,2025-01-28,cover_open
MTR-00414,2025-02-19,cover_open
MTR-00415,2025-04-02,tilt
MTR-00424,2025-02-12,magnetic_tamper
MTR-00428,2025-03-05,reverse_energy
MTR-00431,2025-02-06,magnetic_tamper
MTR-00433,2025-03-03,cover_open
MTR-00437,2025-03-22,reverse_energy
MTR-00438,2025-05-03,magnetic_tamper
MTR-00440,2025-05-20,tilt
MTR-00442,2025-06-18,reverse_energy
MTR-00445,2025-01-30,reverse_energy
MTR-00446,2025-02-06,reverse_energy
MTR-00446,2025-03-12,cover_open
MTR-00446,2025-03-16,tilt
MTR-00446,2025-06-29,cover_open
MTR-00447,2025-05-10,cover_open
MTR-00447,2025-05-17,tilt
MTR-00447,2025-05-23,cover_open
MTR-00447,2025-05-25,cover_open
MTR-00450,2025-01-09,tilt
MTR-00451,2025-03-27,magnetic_tamper
MTR-00453,2025-04-05,magnetic_tamper
MTR-00454,2025-03-29,tilt
MTR-00454,2025-04-08,magnetic_tamper
MTR-00454,2025-04-13,cover_open
MTR-00463,2025-01-17,magnetic_tamper
MTR-00464,2025-03-15,magnetic_tamper
MTR-00465,2025-04-25,cover_open
MTR-00465,2025-05-02,cover_open
MTR-00468,2025-02-07,tilt
MTR-00469,2025-04-01,tilt
MTR-00469,2025-04-09,magnetic_tamper
MTR-00470,2025-06-10,cover_open
MTR-00471,2025-05-12,tilt
MTR-00472,2025-03-21,cover_open
MTR-00473,2025-03-07,tilt
MTR-00474,2025-02-25,tilt
MTR-00474,2025-06-10,reverse_energy
MTR-00476,2025-03-03,cover_open
MTR-00476,2025-03-15,tilt
MTR-00476,2025-03-16,magnetic_tamper
MTR-00478,2025-03-16,magnetic_tamper
MTR-00478,2025-03-17,tilt
MTR-00478,2025-03-19,tilt
MTR-00478,2025-03-30,magnetic_tamper
MTR-00478,2025-04-10,reverse_energy
MTR-00479,2025-03-27,tilt
MTR-00479,2025-06-13,reverse_energy
MTR-00481,2025-01-09,magnetic_tamper
MTR-00482,2025-03-06,tilt
MTR-00485,2025-03-27,magnetic_tamper
MTR-00485,2025-04-05,cover_open
MTR-00486,2025-02-09,magnetic_tamper
MTR-00487,2025-02-12,magnetic_tamper
MTR-00487,2025-02-16,cover_open
MTR-00497,2025-04-12,cover_open
MTR-00499,2025-03-29,cover_open
