meter_id,date,kwh_consumed
MTR-00002,2025-03-30,50.16
MTR-00002,2025-03-31,57.6
MTR-00002,2025-04-01,61.83
MTR-00002,2025-04-02,57.76
MTR-00002,2025-04-03,50.54
MTR-00002,2025-04-04,59.71
MTR-00002,2025-04-05,54.66
MTR-00002,2025-04-06,42.74
MTR-00002,2025-04-07,59.67
MTR-00002,2025-04-08,57.5
MTR-00002,2025-04-09,64.15
MTR-00002,2025-04-10,58.45
MTR-00002,2025-04-11,63.36
MTR-00002,2025-04-12,53.34
MTR-00002,2025-04-13,53.45
MTR-00002,2025-04-14,67.1
MTR-00002,2025-04-15,58.57
MTR-00002,2025-04-16,59.91
MTR-00002,2025-04-17,61.61
MTR-00002,2025-04-18,60.03
MTR-00002,2025-04-19,49.61
MTR-00002,2025-04-20,47.0
MTR-00002,2025-04-21,59.62
MTR-00002,2025-04-22,52.42
MTR-00002,2025-04-23,49.83
MTR-00002,2025-04-24,54.2
MTR-00002,2025-04-25,62.65
MTR-00002,2025-04-26,51.5
MTR-00002,2025-04-27,53.26
MTR-00002,2025-04-28,56.15
MTR-00002,2025-04-29,64.38
MTR-00002,2025-04-30,52.76
MTR-00002,2025-05-01,54.23
MTR-00002,2025-05-02,64.22
MTR-00002,2025-05-03,51.06
MTR-00002,2025-05-04,53.14
MTR-00002,2025-05-05,60.4
MTR-00002,2025-05-06,56.59
MTR-00002,2025-05-07,53.57
MTR-00002,2025-05-08,50.54
MTR-00002,2025-05-09,67.73
MTR-00002,2025-05-10,43.73
MTR-00002,2025-05-11,55.96
MTR-00002,2025-05-12,59.56
MTR-00002,2025-05-13,60.31
MTR-00002,2025-05-14,59.96
MTR-00002,2025-05-15,61.54
MTR-00002,2025-05-16,55.26
MTR-00002,2025-05-17,41.44
MTR-00002,2025-05-18,47.72
MTR-00002,2025-05-19,60.98
MTR-00002,2025-05-20,53.75
MTR-00002,2025-05-21,63.81
MTR-00002,2025-05-22,58.13
MTR-00002,2025-05-23,53.25
MTR-00002,2025-05-24,50.45
MTR-00002,2025-05-25,51.57
MTR-00002,2025-05-26,60.98
MTR-00002,2025-05-27,44.88
MTR-00002,2025-05-28,44.24
MTR-00002,2025-05-29,63.26
MTR-00002,2025-05-30,51.57
MTR-00002,2025-05-31,53.7
MTR-00002,2025-06-01,54.07
MTR-00002,2025-06-02,52.74
MTR-00002,2025-06-03,53.52
MTR-00002,2025-06-04,61.63
MTR-00002,2025-06-05,56.29
MTR-00002,2025-06-06,64.14
MTR-00002,2025-06-07,55.71
MTR-00002,2025-06-08,44.75
MTR-00002,2025-06-09,54.27
MTR-00002,2025-06-10,58.39
MTR-00002,2025-06-11,47.8
MTR-00002,2025-06-12,49.51
MTR-00002,2025-06-13,53.61
MTR-00002,2025-06-14,56.96
MTR-00002,2025-06-15,50.02
MTR-00002,2025-06-16,54.65
MTR-00002,2025-06-17,52.9
MTR-00002,2025-06-18,52.04
MTR-00002,2025-06-19,54.83
MTR-00002,2025-06-20,54.54
MTR-00002,2025-06-21,47.9
MTR-00002,2025-06-22,50.67
MTR-00002,2025-06-23,56.93
MTR-00002,2025-06-24,60.94
MTR-00002,2025-06-25,55.84
MTR-00002,2025-06-26,64.95
MTR-00002,2025-06-27,60.66
MTR-00002,2025-06-28,49.37
MTR-00002,2025-06-29,50.38
MTR-00003,2025-01-01,353.45
MTR-00003,2025-01-02,330.69
MTR-00003,2025-01-03,358.79
MTR-00003,2025-01-04,281.08
MTR-00003,2025-01-05,310.12
MTR-00003,2025-01-06,360.65
MTR-00003,2025-01-07,356.88
MTR-00003,2025-01-08,363.32
MTR-00003,2025-01-09,339.92
MTR-00003,2025-01-10,342.45
MTR-00003,2025-01-11,312.75
MTR-00003,2025-01-12,268.51
MTR-00003,2025-01-13,353.51
MTR-00003,2025-01-14,390.39
MTR-00003,2025-01-15,320.69
MTR-00003,2025-01-16,375.9
MTR-00003,2025-01-17,361.92
MTR-00003,2025-01-18,287.95
MTR-00003,2025-01-19,315.86
MTR-00003,2025-01-20,335.6
MTR-00003,2025-01-21,356.52
MTR-00003,2025-01-22,316.56
MTR-00003,2025-01-23,284.35
MTR-00003,2025-01-24,345.63
MTR-00003,2025-01-25,293.64
MTR-00003,2025-01-26,296.23
MTR-00003,2025-01-27,381.44
MTR-00003,2025-01-28,389.22
MTR-00003,2025-01-29,369.25
MTR-00003,2025-01-30,380.08
MTR-00003,2025-01-31,339.22
MTR-00003,2025-02-01,282.87
MTR-00003,2025-02-02,319.78
MTR-00003,2025-02-03,329.53
MTR-00003,2025-02-04,326.82
MTR-00003,2025-02-05,445.45
MTR-00003,2025-02-06,364.38
MTR-00003,2025-02-07,348.74
MTR-00003,2025-02-08,293.92
MTR-00003,2025-02-09,273.24
MTR-00003,2025-02-10,371.72
MTR-00003,2025-02-11,355.01
MTR-00003,2025-02-12,392.35
MTR-00003,2025-02-13,379.94
MTR-00003,2025-02-14,354.71
MTR-00003,2025-02-15,261.1
MTR-00003,2025-02-16,311.76
MTR-00003,2025-02-17,364.33
MTR-00003,2025-02-18,302.49
MTR-00003,2025-02-19,377.66
MTR-00003,2025-02-20,332.17
MTR-00003,2025-02-21,396.09
MTR-00003,2025-02-22,309.01
MTR-00003,2025-02-23,295.86
MTR-00003,2025-02-24,372.43
MTR-00003,2025-02-25,370.75
MTR-00003,2025-02-26,369.83
MTR-00003,2025-02-27,392.81
MTR-00003,2025-02-28,314.25
MTR-00003,2025-03-01,318.84
MTR-00003,2025-03-02,294.71
MTR-00003,2025-03-03,359.64
MTR-00003,2025-03-04,409.26
MTR-00003,2025-03-05,344.65
MTR-00003,2025-03-06,379.8
MTR-00003,2025-03-07,395.29
MTR-00003,2025-03-08,325.55
MTR-00003,2025-03-09,314.96
MTR-00003,2025-03-10,375.16
MTR-00003,2025-03-11,385.31
MTR-00003,2025-03-12,345.15
MTR-00003,2025-03-13,368.32
MTR-00003,2025-03-14,434.43
MTR-00003,2025-03-15,324.55
MTR-00003,2025-03-16,316.48
MTR-00003,2025-03-17,358.34
MTR-00003,2025-03-18,345.98
MTR-00003,2025-03-19,377.04
MTR-00003,2025-03-20,379.19
MTR-00003,2025-03-21,367.0
MTR-00003,2025-03-22,382.4
MTR-00003,2025-03-23,296.34
MTR-00003,2025-03-24,342.08
MTR-00003,2025-03-25,359.24
MTR-00003,2025-03-26,368.19
MTR-00003,2025-03-27,345.03
MTR-00003,2025-03-28,376.77
MTR-00003,2025-03-29,323.0
MTR-00003,2025-03-30,331.7
MTR-00003,2025-03-31,354.75
MTR-00003,2025-04-01,408.74
MTR-00003,2025-04-02,388.12
MTR-00003,2025-04-03,453.5
MTR-00003,2025-04-04,348.33
MTR-00003,2025-04-05,293.24
MTR-00003,2025-04-06,307.1
MTR-00003,2025-04-07,380.07
MTR-00003,2025-04-08,384.36
MTR-00003,2025-04-09,387.94
MTR-00003,2025-04-10,432.84
MTR-00003,2025-04-11,314.87
MTR-00003,2025-04-12,270.68
MTR-00003,2025-04-13,311.35
MTR-00003,2025-04-14,429.34
MTR-00003,2025-04-15,391.26
MTR-00003,2025-04-16,340.16
MTR-00003,2025-04-17,374.76
MTR-00003,2025-04-18,364.23
MTR-00003,2025-04-19,308.65
MTR-00003,2025-04-20,300.43
MTR-00003,2025-04-21,371.98
MTR-00003,2025-04-22,401.12
MTR-00003,2025-04-23,355.62
MTR-00003,2025-04-24,387.01
MTR-00003,2025-04-25,392.19
MTR-00003,2025-04-26,345.83
MTR-00003,2025-04-27,291.62
MTR-00003,2025-04-28,368.83
MTR-00003,2025-04-29,349.23
MTR-00003,2025-04-30,370.96
MTR-00003,2025-05-01,370.62
MTR-00003,2025-05-02,335.57
MTR-00003,2025-05-03,316.4
MTR-00003,2025-05-04,367.14
MTR-00003,2025-05-05,381.74
MTR-00003,2025-05-06,329.5
MTR-00003,2025-05-07,340.02
MTR-00003,2025-05-08,365.82
MTR-00003,2025-05-09,340.31
MTR-00003,2025-05-10,342.27
MTR-00003,2025-05-11,276.74
MTR-00003,2025-05-12,380.66
MTR-00003,2025-05-13,319.71
MTR-00003,2025-05-14,364.24
MTR-00003,2025-05-15,335.32
MTR-00003,2025-05-16,385.17
MTR-00003,2025-05-17,336.12
MTR-00003,2025-05-18,318.5
MTR-00003,2025-05-19,396.45
MTR-00003,2025-05-20,295.24
MTR-00003,2025-05-21,368.38
MTR-00003,2025-05-22,378.04
MTR-00003,2025-05-23,381.61
MTR-00003,2025-05-24,263.45
MTR-00003,2025-05-25,319.2
MTR-00003,2025-05-26,381.52
MTR-00003,2025-05-27,366.62
MTR-00003,2025-05-28,325.61
MTR-00003,2025-05-29,346.59
MTR-00003,2025-05-30,397.98
MTR-00003,2025-05-31,334.84
MTR-00003,2025-06-01,318.7
MTR-00003,2025-06-02,381.58
MTR-00003,2025-06-03,389.2
MTR-00003,2025-06-04,373.78
MTR-00003,2025-06-05,395.31
MTR-00003,2025-06-06,393.92
MTR-00003,2025-06-07,369.04
MTR-00003,2025-06-08,293.41
MTR-00003,2025-06-09,345.41
MTR-00003,2025-06-10,279.84
MTR-00003,2025-06-11,369.56
MTR-00003,2025-06-12,414.2
MTR-00003,2025-06-13,395.4
MTR-00003,2025-06-14,324.5
MTR-00003,2025-06-15,337.44
MTR-00003,2025-06-16,371.71
MTR-00003,2025-06-17,348.99
MTR-00003,2025-06-18,420.73
MTR-00003,2025-06-19,368.6
MTR-00003,2025-06-20,388.85
MTR-00003,2025-06-21,244.93
MTR-00003,2025-06-22,248.69
MTR-00003,2025-06-23,360.26
MTR-00003,2025-06-24,329.52
MTR-00003,2025-06-25,362.25
MTR-00003,2025-06-26,340.6
MTR-00003,2025-06-27,432.67
MTR-00003,2025-06-28,326.11
MTR-00003,2025-06-29,336.17
MTR-00004,2025-01-01,236.18
MTR-00004,2025-01-02,221.39
MTR-00004,2025-01-03,226.92
MTR-00004,2025-01-04,216.61
MTR-00004,2025-01-05,214.7
MTR-00004,2025-01-06,244.64
MTR-00004,2025-01-07,198.88
MTR-00004,2025-01-08,247.5
MTR-00004,2025-01-09,271.8
MTR-00004,2025-01-10,222.36
MTR-00004,2025-01-11,213.48
MTR-00004,2025-01-12,230.11
MTR-00004,2025-01-13,234.74
MTR-00004,2025-01-14,257.76
MTR-00004,2025-01-15,238.03
MTR-00004,2025-01-16,273.81
MTR-00004,2025-01-17,195.63
MTR-00004,2025-01-18,195.21
MTR-00004,2025-01-19,205.5
MTR-00004,2025-01-20,259.06
MTR-00004,2025-01-21,233.76
MTR-00004,2025-01-22,232.05
MTR-00004,2025-01-23,257.3
MTR-00004,2025-01-24,243.55
MTR-00004,2025-01-25,219.67
MTR-00004,2025-01-26,213.22
MTR-00004,2025-01-27,222.26
MTR-00004,2025-01-28,241.58
MTR-00004,2025-01-29,256.91
MTR-00004,2025-01-30,264.8
MTR-00004,2025-01-31,232.01
MTR-00004,2025-02-01,218.65
MTR-00004,2025-02-02,181.6
MTR-00004,2025-02-03,239.27
MTR-00004,2025-02-04,235.86
MTR-00004,2025-02-05,277.68
MTR-00004,2025-02-06,218.31
MTR-00004,2025-02-07,273.73
MTR-00004,2025-02-08,199.41
MTR-00004,2025-02-09,171.04
MTR-00004,2025-02-10,241.86
MTR-00004,2025-02-11,238.95
MTR-00004,2025-02-12,270.2
MTR-00004,2025-02-13,236.45
MTR-00004,2025-02-14,284.19
MTR-00004,2025-02-15,228.3
MTR-00004,2025-02-16,212.81
MTR-00004,2025-02-17,229.43
MTR-00004,2025-02-18,215.28
MTR-00004,2025-02-19,254.26
MTR-00004,2025-02-20,246.31
MTR-00004,2025-02-21,260.41
MTR-00004,2025-02-22,224.32
MTR-00004,2025-02-23,256.03
MTR-00004,2025-02-24,240.27
MTR-00004,2025-02-25,265.88
MTR-00004,2025-02-26,241.6
MTR-00004,2025-02-27,233.23
MTR-00004,2025-02-28,251.67
MTR-00004,2025-03-01,202.21
MTR-00004,2025-03-02,179.99
MTR-00004,2025-03-03,223.92
MTR-00004,2025-03-04,226.5
MTR-00004,2025-03-05,234.89
MTR-00004,2025-03-06,277.0
MTR-00004,2025-03-07,250.91
MTR-00004,2025-03-08,205.69
MTR-00004,2025-03-09,223.11
MTR-00004,2025-03-10,251.58
MTR-00004,2025-03-11,255.17
MTR-00004,2025-03-12,245.37
MTR-00004,2025-03-13,233.37
MTR-00004,2025-03-14,250.42
MTR-00004,2025-03-15,211.57
MTR-00004,2025-03-16,228.06
MTR-00004,2025-03-17,251.28
MTR-00004,2025-03-18,237.27
MTR-00004,2025-03-19,236.11
MTR-00004,2025-03-20,295.96
MTR-00004,2025-03-21,207.41
MTR-00004,2025-03-22,234.91
MTR-00004,2025-03-23,218.12
MTR-00004,2025-03-24,261.39
MTR-00004,2025-03-25,270.18
MTR-00004,2025-03-26,258.92
MTR-00004,2025-03-27,245.54
MTR-00004,2025-03-28,286.12
MTR-00004,2025-03-29,227.77
MTR-00004,2025-03-30,203.97
MTR-00004,2025-03-31,280.71
MTR-00004,2025-04-01,217.31
MTR-00004,2025-04-02,287.69
MTR-00004,2025-04-03,262.74
MTR-00004,2025-04-04,215.52
MTR-00004,2025-04-05,225.69
MTR-00004,2025-04-06,207.64
MTR-00004,2025-04-07,240.84
MTR-00004,2025-04-08,262.65
MTR-00004,2025-04-09,254.64
MTR-00004,2025-04-10,272.74
MTR-00004,2025-04-11,219.0
MTR-00004,2025-04-12,224.68
MTR-00004,2025-04-13,220.82
MTR-00004,2025-04-14,267.39
MTR-00004,2025-04-15,241.7
MTR-00004,2025-04-16,292.11
MTR-00004,2025-04-17,261.46
MTR-00004,2025-04-18,249.18
MTR-00004,2025-04-19,177.97
MTR-00004,2025-04-20,207.06
MTR-00004,2025-04-21,268.04
MTR-00004,2025-04-22,281.04
MTR-00004,2025-04-23,251.96
MTR-00004,2025-04-24,284.74
MTR-00004,2025-04-25,231.99
MTR-00004,2025-04-26,220.68
MTR-00004,2025-04-27,221.11
MTR-00004,2025-04-28,263.46
MTR-00004,2025-04-29,254.21
MTR-00004,2025-04-30,258.09
MTR-00004,2025-05-01,231.05
MTR-00004,2025-05-02,277.73
MTR-00004,2025-05-03,229.09
MTR-00004,2025-05-04,218.32
MTR-00004,2025-05-05,269.82
MTR-00004,2025-05-06,278.01
MTR-00004,2025-05-07,262.18
MTR-00004,2025-05-08,292.69
MTR-00004,2025-05-09,263.7
MTR-00004,2025-05-10,198.0
MTR-00004,2025-05-11,216.7
MTR-00004,2025-05-12,269.78
MTR-00004,2025-05-13,277.07
MTR-00004,2025-05-14,252.9
MTR-00004,2025-05-15,230.83
MTR-00004,2025-05-16,244.64
MTR-00004,2025-05-17,188.66
MTR-00004,2025-05-18,224.93
MTR-00004,2025-05-19,240.33
MTR-00004,2025-05-20,234.49
MTR-00004,2025-05-21,266.26
MTR-00004,2025-05-22,280.49
MTR-00004,2025-05-23,233.97
MTR-00004,2025-05-24,213.8
MTR-00004,2025-05-25,207.49
MTR-00004,2025-05-26,275.99
MTR-00004,2025-05-27,246.01
MTR-00004,2025-05-28,227.22
MTR-00004,2025-05-29,246.62
MTR-00004,2025-05-30,270.13
MTR-00004,2025-05-31,205.66
MTR-00004,2025-06-01,199.3
MTR-00004,2025-06-02,244.08
MTR-00004,2025-06-03,226.83
MTR-00004,2025-06-04,242.38
MTR-00004,2025-06-05,235.19
MTR-00004,2025-06-06,292.0
MTR-00004,2025-06-07,176.56
MTR-00004,2025-06-08,194.24
MTR-00004,2025-06-09,233.06
MTR-00004,2025-06-10,225.75
MTR-00004,2025-06-11,252.92
MTR-00004,2025-06-12,230.28
MTR-00004,2025-06-13,215.89
MTR-00004,2025-06-14,208.99
MTR-00004,2025-06-15,202.36
MTR-00004,2025-06-16,230.4
MTR-00004,2025-06-17,270.87
MTR-00004,2025-06-18,252.19
MTR-00004,2025-06-19,249.65
MTR-00004,2025-06-20,252.22
MTR-00004,2025-06-21,213.31
MTR-00004,2025-06-22,202.02
MTR-00004,2025-06-23,228.41
MTR-00004,2025-06-24,244.28
MTR-00004,2025-06-25,236.72
MTR-00004,2025-06-26,204.3
MTR-00004,2025-06-27,221.04
MTR-00004,2025-06-28,198.63
MTR-00004,2025-06-29,220.05
MTR-00005,2025-01-01,17.46
MTR-00005,2025-01-02,18.1
MTR-00005,2025-01-03,18.09
MTR-00005,2025-01-04,14.67
MTR-00005,2025-01-05,14.9
MTR-00005,2025-01-06,17.41
MTR-00005,2025-01-07,16.94
MTR-00005,2025-01-08,16.93
MTR-00005,2025-01-09,16.85
MTR-00005,2025-01-10,17.21
MTR-00005,2025-01-11,15.72
MTR-00005,2025-01-12,14.73
MTR-00005,2025-01-13,14.73
MTR-00005,2025-01-14,16.31
MTR-00005,2025-01-15,15.89
MTR-00005,2025-01-16,19.67
MTR-00005,2025-01-17,15.55
MTR-00005,2025-01-18,16.61
MTR-00005,2025-01-19,14.58
MTR-00005,2025-01-20,15.9
MTR-00005,2025-01-21,20.6
MTR-00005,2025-01-22,16.05
MTR-00005,2025-01-23,16.09
MTR-00005,2025-01-24,18.66
MTR-00005,2025-01-25,15.9
MTR-00005,2025-01-26,14.49
MTR-00005,2025-01-27,15.84
MTR-00005,2025-01-28,16.76
MTR-00005,2025-01-29,17.48
MTR-00005,2025-01-30,15.67
MTR-00005,2025-01-31,17.8
MTR-00005,2025-02-01,15.78
MTR-00005,2025-02-02,12.85
MTR-00005,2025-02-03,18.62
MTR-00005,2025-02-04,16.43
MTR-00005,2025-02-05,19.85
MTR-00005,2025-02-06,18.49
MTR-00005,2025-02-07,18.23
MTR-00005,2025-02-08,14.63
MTR-00005,2025-02-09,17.96
MTR-00005,2025-02-10,16.82
MTR-00005,2025-02-11,16.06
MTR-00005,2025-02-12,16.56
MTR-00005,2025-02-13,18.99
MTR-00005,2025-02-14,17.64
MTR-00005,2025-02-15,14.82
MTR-00005,2025-02-16,14.36
MTR-00005,2025-02-17,17.39
MTR-00005,2025-02-18,16.82
MTR-00005,2025-02-19,18.51
MTR-00005,2025-02-20,17.21
MTR-00005,2025-02-21,16.67
MTR-00005,2025-02-22,16.11
MTR-00005,2025-02-23,13.78
MTR-00005,2025-02-24,17.76
MTR-00005,2025-02-25,14.91
